t,reproj_rms_px,reproj_feats
23.0777,3.61866,61
23.1445,5.37162,57
23.2112,3.85087,49
23.2779,2.12328,22
23.3447,3.25613,32
23.4114,3.7322,21
23.4781,3.75691,16
23.5449,0.77821,11
23.6116,2.30901,27
23.6783,3.90643,6
23.7451,2.47025,11
23.8118,3.37185,11
23.8785,2.57734,44
23.9453,3.55788,18
24.012,2.71755,56
24.0787,2.24643,36
24.1455,2.56629,54
24.2122,2.52459,106
24.2789,2.02925,60
24.3457,4.03032,14
24.4124,2.07694,32
24.4791,2.4525,11
24.5459,2.81165,16
24.6126,2.80135,16
24.6793,3.51694,29
24.7461,3.90565,8
24.8128,2.91072,63
24.8795,2.37046,24
24.9463,2.44667,26
25.013,2.44667,26
25.0797,3.60476,1
25.1465,4.26479,9
25.2132,2.2612,7
25.2799,1.71931,4
25.3467,3.24611,12
25.4134,2.01521,9
25.4801,3.5827,16
25.5469,2.91731,25
25.6136,2.71607,21
25.6803,3.10214,89
25.7471,4.14075,5
25.8138,2.94515,57
25.8805,2.81915,33
25.9473,3.99899,25
26.014,2.78419,22
26.0807,3.72014,56
26.1475,2.25377,2
26.2142,2.36764,30
26.2809,3.24855,49
26.3477,2.11871,4
26.4144,2.11871,4
26.4811,4.08419,67
26.5479,4.69911,16
26.6146,6.76496,31
26.6813,4.13176,14
26.7481,4.90668,6
26.8148,2.77073,28
26.8815,3.72801,21
26.9483,4.40402,24
27.015,2.9553,16
27.0817,3.86522,4
27.1485,2.00269,5
27.2152,4.92035,13
27.2819,5.47158,40
27.3487,3.40952,33
27.4154,6.04461,2
27.4821,4.42183,14
27.5489,5.25395,18
27.6156,8.16836,4
27.6823,7.30712,37
27.7491,5.47795,35
27.8158,4.91892,8
27.8825,9.00302,18
27.9493,9.26452,28
28.016,3.97358,22
28.0827,5.87171,24
28.1495,5.19862,22
28.2162,6.81321,25
28.2829,4.61209,17
28.3497,3.62633,6
28.4164,2.76368,6
28.4831,7.99094,15
28.5499,6.51855,13
28.6166,4.25697,8
28.6833,3.64284,28
28.7501,2.85168,16
28.8168,5.25981,14
28.8835,4.43142,47
28.9503,3.99634,20
29.017,3.26457,9
29.0837,4.9846,26
29.1505,5.68216,16
29.2172,3.07806,4
29.2839,3.18423,11
29.3507,4.9428,36
29.4174,3.28383,15
29.4841,3.52416,31
29.5509,2.55861,12
29.6176,4.89523,15
29.6843,4.95162,47
29.7511,3.93455,40
29.8178,3.24239,12
29.8845,4.86053,34
29.9513,4.1336,14
30.018,3.48543,23
30.0847,2.94106,29
30.1515,3.73211,14
30.2182,2.43996,12
30.2849,3.24152,16
30.3517,3.13539,30
30.4184,2.54927,11
30.4851,5.23161,86
30.5519,3.85732,52
30.6186,2.79354,38
30.6853,4.02081,44
30.7521,3.10112,56
30.8188,2.43037,5
30.8855,3.17514,32
30.9523,3.79732,43
31.019,2.932,25
31.0857,3.50069,10
31.1525,4.96228,87
31.2192,2.61906,37
31.2859,1.28762,13
31.3527,1.7785,2
31.4194,4.84019,4
31.4861,3.32829,6
31.5529,1.67428,7
31.6196,3.3032,8
31.6863,2.22829,18
31.7531,2.3166,30
31.8198,2.88371,25
31.8865,2.2732,35
31.9533,2.87615,62
32.02,2.87541,110
32.0867,3.48742,158
32.1535,3.80857,90
32.2202,3.44773,111
32.2869,4.06262,42
32.3537,2.58222,26
32.4204,4.28141,22
32.4871,3.73553,51
32.5539,2.96087,38
32.6206,4.30536,70
32.6873,4.59823,43
32.7541,5.10971,26
32.8208,5.25567,31
32.8875,6.2457,29
32.9543,7.20193,23
33.021,7.82327,20
33.0877,7.00491,13
33.1545,3.65064,7
33.2212,11.1161,9
33.2879,11.2928,14
33.3547,9.36891,27
33.4214,10.2268,22
33.4881,13.4685,24
33.5549,5.02182,7
33.6216,6.6854,27
33.6883,4.65209,5
33.7551,5.6833,14
33.8218,4.69824,5
33.8885,6.24842,9
33.9553,3.84389,5
34.022,2.82506,2
34.0887,2.56245,4
34.1555,3.95883,30
34.2222,1.11144,0
34.2889,3.36119,16
34.3557,6.00568,7
34.4224,2.57638,25
34.4891,3.5035,44
34.5559,2.71352,21
34.6226,3.26378,21
34.6893,1.91798,31
34.7561,3.06213,37
34.8228,3.31707,24
34.8895,4.02257,23
34.9563,3.71725,30
35.023,3.91434,41
35.0897,2.5761,34
35.1565,3.14247,11
35.2232,1.65864,14
35.2899,3.07241,56
35.3567,4.66799,11
35.4234,3.49378,28
35.4901,3.76923,14
35.5569,3.76923,14
35.6236,3.4103,12
35.6903,1.37087,6
35.7571,2.79383,18
35.8238,2.36619,16
35.8905,3.32589,18
35.9573,2.46908,7
36.024,2.46908,7
36.0907,1.44655,3
36.1575,2.50592,15
36.2242,2.50592,15
36.2909,2.50592,15
36.3577,3.32272,23
36.4244,3.50697,13
36.4911,3.99531,40
36.5579,3.29226,9
36.6246,3.63959,7
36.6913,3.10981,2
36.7581,1.59542,10
36.8248,5.75061,2
36.8915,2.97135,27
36.9583,1.8006,12
37.025,2.45837,16
37.0917,2.30402,58
37.1585,2.83217,38
37.2252,2.29895,70
37.2919,3.00018,43
37.3587,2.9222,24
37.4254,3.23915,54
37.4921,3.23915,54
37.5589,3.65514,12
37.6256,3.10386,25
37.6923,4.91822,11
37.7591,2.61299,37
37.8258,2.48677,98
37.8925,3.18012,18
37.9593,2.77095,105
38.026,3.60382,48
38.0927,3.21949,22
38.1595,3.76982,14
38.2262,3.48543,22
38.2929,3.41345,56
38.3597,2.39314,18
38.4264,3.03677,30
38.4931,3.48587,12
38.5599,3.59997,31
38.6266,3.48683,12
38.6933,2.48868,6
38.7601,3.07288,46
38.8268,4.37818,35
38.8935,3.77114,12
38.9603,4.73449,28
39.027,4.24618,46
39.0937,5.17407,90
39.1605,5.88102,76
39.2272,4.3324,35
39.2939,6.28291,69
39.3607,5.74679,104
39.4274,6.71845,13
39.4941,4.33854,83
39.5609,7.60523,49
39.6276,2.98135,18
39.6943,4.29239,47
39.7611,5.36492,12
39.8278,5.57285,6
39.8945,5.42537,34
39.9613,1.50826,1
40.028,4.10361,31
40.0947,2.95236,0
40.1615,3.86336,22
40.2282,2.3911,21
40.2949,4.63601,55
40.3617,4.32412,11
40.4284,4.0152,16
40.4951,3.90888,11
40.5619,3.28193,15
40.6286,3.74987,8
40.6953,3.53135,30
40.7621,2.59527,16
40.8288,1.69314,3
40.8955,3.58214,40
40.9623,3.05151,31
41.029,3.30323,24
41.0957,3.40607,26
41.1625,2.61817,28
41.2292,2.99828,21
41.2959,2.84557,2
41.3627,3.38878,9
41.4294,2.55464,4
41.4961,2.52353,14
41.5629,3.36146,4
41.6296,3.17855,19
41.6963,3.71842,18
41.7631,3.11733,18
41.8298,3.39286,17
41.8965,2.92386,7
41.9633,3.56478,14
42.03,3.58904,27
42.0967,4.39601,34
42.1635,3.4072,32
42.2302,8.00457,132
42.2969,8.45251,133
42.3637,9.63481,119
42.4304,8.63659,78
42.4971,9.95032,90
42.5639,9.08368,50
42.6306,10.8747,114
42.6973,9.37398,7
42.7641,10.9863,14
42.8308,13.1245,10
42.8975,9.93174,24
42.9643,9.22691,29
43.031,7.88839,31
43.0977,8.65896,16
43.1645,12.6937,8
43.2312,6.25358,17
43.2979,11.9415,5
43.3647,10.1383,18
43.4314,10.8164,17
43.4981,8.34296,3
43.5649,12.6501,13
43.6316,9.56081,33
43.6983,9.04206,24
43.7651,8.61581,16
43.8318,9.61873,11
43.8985,7.30492,31
43.9653,7.66561,16
44.032,6.55315,10
44.0987,3.92764,13
44.1655,4.5395,6
44.2322,4.5694,21
44.2989,5.40544,6
44.3657,2.60259,12
44.4324,4.61483,8
44.4991,4.57219,3
44.5659,3.35397,3
44.6326,2.38506,5
44.6993,3.57746,19
44.7661,1.87383,0
44.8328,3.41931,33
44.8995,2.41359,18
44.9663,3.17338,14
45.033,4.76721,18
45.0997,2.55634,1
45.1665,4.75158,1
45.2332,3.81577,6
45.2999,4.20336,8
45.3667,4.43185,12
45.4334,3.5965,31
45.5001,4.17978,37
45.5669,5.13746,31
45.6336,5.12867,32
45.7003,7.92236,26
45.7671,4.97884,19
45.8338,6.05733,14
45.9005,6.70054,6
45.9673,9.70527,16
46.034,9.43526,11
46.1007,5.73388,14
46.1675,9.58707,2
46.2342,7.77721,3
46.3009,5.30101,10
46.3677,8.83743,5
46.4344,9.30069,4
46.5011,5.56664,4
46.5679,8.83289,4
46.6346,6.01404,8
46.7013,5.09778,16
46.7681,8.00051,0
46.8348,5.57622,8
46.9015,5.57622,8
46.9683,4.39667,3
47.035,4.50439,9
47.1017,6.95992,10
47.1685,3.21341,27
47.2352,3.22754,5
47.3019,3.22754,5
47.3687,5.87909,48
47.4354,3.04488,9
47.5021,5.14991,39
47.5689,3.28543,17
47.6356,6.57372,28
47.7023,2.2969,11
47.7691,4.3918,11
47.8358,4.79257,68
47.9025,6.85629,78
47.9693,5.56645,15
48.036,5.99344,50
48.1027,3.1822,15
48.1695,2.7644,19
48.2362,4.81552,22
48.3029,5.37582,21
48.3697,2.55748,4
48.4364,3.50897,15
48.5031,4.44021,12
48.5699,2.10653,71
48.6366,4.5863,57
48.7033,5.80281,34
48.7701,2.93818,26
48.8368,2.29728,41
48.9035,2.85019,20
48.9703,3.54659,27
49.037,7.48223,18
49.1037,2.77464,6
49.1705,2.92864,25
49.2372,4.45564,25
49.3039,2.48601,43
49.3707,3.50517,55
49.4374,1.57146,35
49.5041,2.68562,51
49.5709,3.13294,16
49.6376,1.00147,1
49.7043,2.70461,18
49.7711,2.23514,14
49.8378,2.78256,9
49.9045,2.67588,7
49.9713,3.43166,11
50.038,2.11086,43
50.1047,2.11029,19
50.1715,3.69954,1
50.2382,2.7633,17
50.3049,2.75064,57
50.3717,3.14824,36
50.4384,2.02927,25
50.5051,3.12728,3
50.5719,2.7455,9
50.6386,2.7455,9
50.7053,1.9882,3
50.7721,3.30638,8
50.8388,3.06775,13
50.9055,2.59617,5
50.9723,4.01784,76
51.039,3.9174,81
51.1057,4.7701,53
51.1725,5.58945,88
51.2392,5.5463,97
51.3059,9.38933,55
51.3727,12.4455,82
51.4394,8.43602,120
51.5061,11.4394,72
51.5729,8.83038,69
51.6396,14.3733,43
51.7063,12.1187,57
51.7731,11.2428,26
51.8398,10.9259,30
51.9065,11.8243,35
51.9733,9.1733,54
52.04,14.3477,15
52.1067,11.1376,12
52.1735,11.1376,12
52.2402,10.1236,21
52.3069,11.5011,19
52.3737,11.5011,19
52.4404,8.02453,12
52.5071,9.69151,32
52.5739,8.25797,60
52.6406,7.00821,44
52.7073,6.9006,6
52.7741,6.9006,6
52.8408,6.9006,6
52.9075,4.79334,2
52.9743,4.82015,10
53.041,3.34896,8
53.1077,2.48715,2
53.1745,1.06228,0
53.2412,2.66384,8
53.3079,2.55011,21
53.3747,3.47127,19
53.4414,2.81149,32
53.5081,1.92351,3
53.5749,1.73521,3
53.6416,2.85604,44
53.7083,3.06588,4
53.7751,4.22898,10
53.8418,3.2573,13
53.9085,2.86042,53
53.9753,2.86861,56
54.042,2.95698,36
54.1087,2.85071,36
54.1755,2.47047,38
54.2422,2.61776,17
54.3089,2.95072,45
54.3757,5.52678,7
54.4424,4.20312,8
54.5091,4.57817,26
54.5759,3.13631,38
54.6426,3.80517,67
54.7093,3.1066,30
54.7761,4.74614,44
54.8428,3.03014,61
54.9095,2.61665,33
54.9763,4.25825,43
55.043,6.39679,67
55.1097,4.08499,59
55.1765,2.72905,105
55.2432,7.2002,35
55.3099,5.20988,28
55.3767,5.19162,75
55.4434,2.79093,25
55.5101,2.12693,1
55.5769,3.48474,4
55.6436,3.32654,13
55.7103,2.84725,5
55.7771,3.80463,4
55.8438,2.43846,0
55.9105,4.52495,7
55.9773,4.4549,5
56.044,4.4549,5
56.1107,4.4549,5
56.1775,4.13403,6
56.2442,5.44208,5
56.3109,4.68395,24
56.3777,6.83304,5
56.4444,4.02216,4
56.5111,9.04326,15
56.5779,4.35434,1
56.6446,5.382,12
56.7113,6.89967,6
56.7781,8.01614,38
56.8448,9.19122,1
56.9115,5.06607,8
56.9783,5.3367,7
57.045,3.5373,12
57.1117,2.95034,9
57.1785,4.08598,6
57.2452,3.52693,12
57.3119,3.25734,16
57.3787,3.16103,3
57.4454,3.85507,1
57.5121,3.85507,1
57.5789,5.14167,9
57.6456,5.64443,20
57.7123,1.90162,2
57.7791,4.4354,12
57.8458,5.08684,7
57.9125,6.0012,12
57.9793,5.89208,7
58.046,2.19206,0
58.1127,3.85509,10
58.1795,5.40588,1
58.2462,2.84628,3
58.3129,4.24931,2
58.3797,4.65925,3
58.4464,3.78399,10
58.5131,3.78399,10
58.5799,3.07656,12
58.6466,1.72377,5
58.7133,1.51621,0
58.7801,4.04402,10
58.8468,4.04402,10
58.9135,4.04402,10
58.9803,4.04402,10
59.047,2.91682,4
59.1137,2.24784,2
59.1805,1.42348,0
59.2472,2.51934,7
59.3139,3.77053,12
59.3807,3.77053,12
59.4474,3.31858,11
59.5141,4.04012,47
59.5809,4.04012,47
59.6476,4.04012,47
59.7143,3.46594,3
59.7811,3.6345,10
59.8478,2.62373,12
59.9145,2.60984,20
59.9813,2.07149,2
60.048,3.08226,10
60.1147,2.19614,20
60.1815,3.32692,36
60.2482,3.51877,53
60.3149,2.79949,18
60.3817,2.79949,18
60.4484,1.48572,1
60.5151,2.21718,6
60.5819,3.12848,8
60.6486,6.34057,42
60.7153,7.90722,48
60.7821,7.66693,34
60.8488,8.17016,3
