t,px,py,pz,qx,qy,qz,qw
9.46413,-1.21678,-0.258308,0.0150416,-0.624171,-0.360799,-0.629185,0.290449
9.53087,-1.22142,-0.263338,0.0118254,-0.62233,-0.361007,-0.62561,0.30165
9.5976,-1.24481,-0.273731,-0.00677429,-0.611948,-0.372289,-0.622263,0.315767
9.66433,-1.24746,-0.277259,-0.0120726,-0.606123,-0.380643,-0.614828,0.331229
9.73107,-1.23858,-0.287742,-0.00938612,-0.603585,-0.38012,-0.609908,0.345264
9.7978,-1.24499,-0.306506,-0.00174273,-0.598767,-0.386598,-0.604508,0.355794
9.86453,-1.25878,-0.321219,-0.0172793,-0.590515,-0.399506,-0.597883,0.366366
9.93127,-1.27651,-0.343917,-0.0314974,-0.583162,-0.410098,-0.590043,0.378934
9.998,-1.2853,-0.356829,-0.0508597,-0.5739,-0.411284,-0.588328,0.394151
10.0647,-1.29881,-0.388327,-0.0692712,-0.565971,-0.419705,-0.585016,0.401599
10.1315,-1.29843,-0.410462,-0.0825209,-0.556429,-0.430004,-0.576104,0.416638
10.1982,-1.27427,-0.414728,-0.0816599,-0.554688,-0.435063,-0.564983,0.42876
10.2649,-1.257,-0.437949,-0.0846403,-0.54871,-0.444314,-0.551846,0.44381
10.3317,-1.24879,-0.474796,-0.0871744,-0.53875,-0.452164,-0.538339,0.464206
10.3984,-1.24485,-0.50614,-0.0948044,-0.524114,-0.473881,-0.524291,0.475247
10.4651,-1.27846,-0.566287,-0.124892,-0.518096,-0.484207,-0.501356,0.495744
10.5319,-1.27834,-0.611155,-0.139736,-0.508063,-0.491974,-0.487127,0.512388
10.5986,-1.261,-0.649381,-0.14543,-0.496682,-0.502179,-0.475265,0.52464
10.6653,-1.20793,-0.65181,-0.12563,-0.484661,-0.51767,-0.46608,0.529047
10.7321,-1.1437,-0.652189,-0.0818,-0.476096,-0.528558,-0.460459,0.530977
10.7988,-1.11571,-0.672699,-0.0793599,-0.465221,-0.539202,-0.451411,0.537641
10.8655,-1.07452,-0.672542,-0.0648243,-0.452711,-0.554557,-0.439529,0.542524
10.9323,-1.0522,-0.700694,-0.0727249,-0.442512,-0.563919,-0.429247,0.549478
10.999,-1.01974,-0.705003,-0.0676659,-0.431233,-0.57585,-0.420731,0.552648
11.0657,-1.01535,-0.725489,-0.0705212,-0.427803,-0.578113,-0.41404,0.557979
11.1325,-1.00701,-0.725683,-0.0606506,-0.419329,-0.588252,-0.401935,0.562646
11.1992,-0.988804,-0.729108,-0.0606519,-0.415147,-0.587815,-0.389766,0.574639
11.2659,-0.969315,-0.718679,-0.0493511,-0.410988,-0.591677,-0.381368,0.579281
11.3327,-0.937347,-0.718618,-0.0416589,-0.39736,-0.598259,-0.3726,0.587674
11.3994,-0.909941,-0.718272,-0.041217,-0.389454,-0.604161,-0.363531,0.592588
11.4661,-0.887067,-0.712095,-0.0377288,-0.383397,-0.608318,-0.356795,0.596367
11.5329,-0.868481,-0.711175,-0.0379208,-0.374195,-0.614565,-0.35353,0.59775
11.5996,-0.899911,-0.708012,-0.0227799,-0.388399,-0.611162,-0.357068,0.590026
11.6663,-0.88718,-0.699678,-0.0236774,-0.384228,-0.614856,-0.355291,0.589991
