frame,x,y,z
4.650000000000000000e+02,3.608013861744302719e+00,7.044094379450748233e-01,-6.578450168394735231e-02
4.730000000000000000e+02,3.611143747293270145e+00,7.149893014954089576e-01,-2.118631701856914518e-01
4.810000000000000000e+02,3.598019115232264475e+00,7.295428853376971778e-01,-3.646346665299771139e-01
4.890000000000000000e+02,3.582706670792205284e+00,7.542376221992780350e-01,-5.342491409316895146e-01
4.970000000000000000e+02,3.553012747532114268e+00,7.735070956658642860e-01,-7.163548482130832618e-01
5.050000000000000000e+02,3.532223275233177695e+00,7.820527276860472776e-01,-9.122083528569447930e-01
5.130000000000000000e+02,3.523180977922523383e+00,8.127827696263533186e-01,-1.111444640552980756e+00
5.210000000000000000e+02,3.553241915175328725e+00,8.658733005985845832e-01,-1.315522719486283298e+00
5.290000000000000000e+02,3.600065659024782594e+00,8.911216094163758594e-01,-1.527714030139979196e+00
5.370000000000000000e+02,3.640944479401410305e+00,9.241054014625058599e-01,-1.733532169130332479e+00
5.450000000000000000e+02,3.667943500496690046e+00,9.679219787978377010e-01,-1.934502271907697857e+00
5.530000000000000000e+02,3.698519468263863796e+00,9.805101885138929330e-01,-2.139036173059319701e+00
5.610000000000000000e+02,3.702420219339825458e+00,1.003153323975804589e+00,-2.347950108672490988e+00
5.690000000000000000e+02,3.726329909317856792e+00,1.042357632871783624e+00,-2.528654540590916877e+00
5.770000000000000000e+02,3.770040652644290002e+00,1.073755715434470348e+00,-2.716288273756247929e+00
5.850000000000000000e+02,3.813191226588160010e+00,1.099228920179595503e+00,-2.884571013533369310e+00
5.930000000000000000e+02,3.860216534386087250e+00,1.126292801043369485e+00,-3.020812579887040439e+00
6.010000000000000000e+02,3.920556260588027087e+00,1.148652278619813227e+00,-3.137821615671598341e+00
6.090000000000000000e+02,4.002647609328588985e+00,1.175851617466835197e+00,-3.195437504312021115e+00
6.170000000000000000e+02,4.103702274223497426e+00,1.201617696725567397e+00,-3.147247371653173698e+00
6.250000000000000000e+02,4.165094562333519157e+00,1.202236059194401685e+00,-3.013292979401758664e+00
6.330000000000000000e+02,4.174486991769730260e+00,1.182396365108430158e+00,-2.844757756561879347e+00
6.410000000000000000e+02,4.161657092738892949e+00,1.165456394302523568e+00,-2.680728283113416488e+00
6.490000000000000000e+02,4.156394091204394847e+00,1.145905224148773272e+00,-2.503076324629716520e+00
6.570000000000000000e+02,4.146547822649095494e+00,1.100288342162351274e+00,-2.338926094141128953e+00
6.650000000000000000e+02,4.106794804008248256e+00,1.072896551949744648e+00,-2.184512785302103577e+00
6.730000000000000000e+02,4.016673242405107480e+00,1.053773848036676730e+00,-2.032342204660325002e+00
6.810000000000000000e+02,3.920754319679169431e+00,1.006208404259657740e+00,-1.890020104438338899e+00
6.890000000000000000e+02,3.825633324106447297e+00,9.639782299265672316e-01,-1.732476575350547110e+00
6.970000000000000000e+02,3.735897966383681990e+00,9.298068579422245072e-01,-1.547353807645046375e+00
7.050000000000000000e+02,3.657241436503635867e+00,8.764622960981068855e-01,-1.345081409211773993e+00
7.130000000000000000e+02,3.581568759729572005e+00,8.321197301697474957e-01,-1.157124274909252071e+00
7.210000000000000000e+02,3.490480276753193500e+00,8.086492042782668088e-01,-9.779106544803990442e-01
7.290000000000000000e+02,3.430806318769804797e+00,7.656095968369401872e-01,-8.087710185840142341e-01
