frame,x,y,z
1.073000000000000000e+03,1.371159614315275110e+00,-9.927616016715561098e-02,7.957654971686912715e-01
1.081000000000000000e+03,1.489120850078585079e+00,-1.495079412357891158e-01,8.082130819928120546e-01
1.089000000000000000e+03,1.646573017737384736e+00,-2.112243415618227926e-01,8.226234365524094372e-01
1.097000000000000000e+03,1.803591255853967956e+00,-3.152040341754084873e-01,8.325597135706414020e-01
1.105000000000000000e+03,1.943043646771370758e+00,-4.040808586728447116e-01,8.447698866298071207e-01
1.113000000000000000e+03,2.082465286089689727e+00,-4.673990427441274131e-01,8.621938056402285167e-01
1.121000000000000000e+03,2.232257144093598988e+00,-5.375949836793642023e-01,8.785137919918519778e-01
1.129000000000000000e+03,2.403136940699506230e+00,-5.829924277514725306e-01,8.825519852719320157e-01
1.137000000000000000e+03,2.572100901833865194e+00,-6.180106105173087672e-01,8.616488589410232768e-01
1.145000000000000000e+03,2.742302067582349512e+00,-6.811930458411094014e-01,8.417252744041946455e-01
1.153000000000000000e+03,2.930979884615860787e+00,-7.329441732812012056e-01,8.432742670453190481e-01
1.161000000000000000e+03,3.106193346570673253e+00,-7.630648516029805428e-01,8.709673069056760308e-01
1.169000000000000000e+03,3.283698107384643183e+00,-8.098039128092220373e-01,9.267300209805560129e-01
1.177000000000000000e+03,3.452504862364479177e+00,-8.379454918425454091e-01,1.009906942377017058e+00
1.185000000000000000e+03,3.586356123343883429e+00,-8.544461238031306749e-01,1.106241597442209290e+00
1.193000000000000000e+03,3.699649140949130999e+00,-8.775777398823406683e-01,1.239346426895469699e+00
1.201000000000000000e+03,3.789656747604453368e+00,-8.672850239847403886e-01,1.389575810061518313e+00
1.209000000000000000e+03,3.854271665836251248e+00,-8.601173933939058047e-01,1.557036114064141552e+00
1.217000000000000000e+03,3.918971843326002347e+00,-8.653683232724752594e-01,1.728271349573437643e+00
1.225000000000000000e+03,3.969262352359361312e+00,-8.461438081069623252e-01,1.893855891230533883e+00
1.233000000000000000e+03,4.011394862138239148e+00,-8.395422748123103629e-01,2.076878275983101041e+00
1.241000000000000000e+03,4.045854599331983437e+00,-8.332273934913708713e-01,2.240238696816597486e+00
1.249000000000000000e+03,4.062380133622552236e+00,-8.075417848282349098e-01,2.391891519128682475e+00
1.257000000000000000e+03,4.048225847121689647e+00,-7.886636426562584345e-01,2.543024791519574279e+00
1.265000000000000000e+03,4.024205348474485078e+00,-7.718003899523363520e-01,2.673721951845109412e+00
1.273000000000000000e+03,3.967303550477927487e+00,-7.410558038457396579e-01,2.787239320194160097e+00
1.281000000000000000e+03,3.892533676605818282e+00,-7.293120595506931148e-01,2.801887916170903381e+00
1.289000000000000000e+03,3.825301046088697809e+00,-7.158324196938770090e-01,2.733862938253360131e+00
1.297000000000000000e+03,3.818326287220499271e+00,-7.250250107362823382e-01,2.589313026437087384e+00
1.305000000000000000e+03,3.826920662748038104e+00,-7.404332700882445550e-01,2.433360823638027970e+00
1.313000000000000000e+03,3.843308918698095322e+00,-7.619235165600996007e-01,2.253186284925895233e+00
1.321000000000000000e+03,3.840716308499673826e+00,-7.700531116564892642e-01,2.076358007385419313e+00
1.329000000000000000e+03,3.816104310023566093e+00,-8.020447940383585994e-01,1.902143637908386475e+00
1.337000000000000000e+03,3.794225982672443376e+00,-8.292116311829681452e-01,1.728514138485087726e+00
1.345000000000000000e+03,3.801406466162186248e+00,-8.404730735014023235e-01,1.549717358499817399e+00
1.353000000000000000e+03,3.803761887165731714e+00,-8.697139396424192759e-01,1.383460794892633849e+00
1.361000000000000000e+03,3.777600394974100162e+00,-8.801195596996425063e-01,1.219462138982997601e+00
1.369000000000000000e+03,3.704675239438956158e+00,-8.642068029179604816e-01,1.069672899648966613e+00
1.377000000000000000e+03,3.584374942430960775e+00,-8.552349293831155164e-01,9.456481372391527529e-01
1.385000000000000000e+03,3.432854629610500918e+00,-8.256462873165718586e-01,8.459205797431800233e-01
1.393000000000000000e+03,3.254462126261490784e+00,-7.769669692338443401e-01,7.751536804843351947e-01
1.401000000000000000e+03,3.073699262240178864e+00,-7.508264009501214309e-01,7.416759480870797061e-01
1.409000000000000000e+03,2.894259395854810624e+00,-6.896518876944518484e-01,7.473617384373651973e-01
1.417000000000000000e+03,2.709227737245336165e+00,-6.470481248093237214e-01,7.844757852813062371e-01
1.425000000000000000e+03,2.514721704557800752e+00,-5.984253670100408984e-01,8.488684296071460356e-01
1.433000000000000000e+03,2.346661444668252106e+00,-5.354690887970454671e-01,9.112255508996831566e-01
1.441000000000000000e+03,2.178340418290199754e+00,-4.895101997922116088e-01,9.919646118559963810e-01
1.449000000000000000e+03,2.053241103628412834e+00,-4.419081707318571750e-01,1.102203267410116538e+00
1.457000000000000000e+03,1.978368474769296670e+00,-3.952946946766195957e-01,1.223050265231521605e+00
1.465000000000000000e+03,1.921372165944771560e+00,-3.752885017964962544e-01,1.371568324043977771e+00
1.473000000000000000e+03,1.891850272616679929e+00,-3.506332622231712604e-01,1.531231011528592312e+00
1.481000000000000000e+03,1.877843194493753254e+00,-3.137930814044314620e-01,1.693783285915649639e+00
1.489000000000000000e+03,1.857547343401346307e+00,-3.004013847408442128e-01,1.871993718496967718e+00
1.497000000000000000e+03,1.868219818052622383e+00,-2.773598069127494181e-01,2.038958153136253060e+00
1.505000000000000000e+03,1.899541729366649223e+00,-2.549306407924998297e-01,2.221636417776840400e+00
1.513000000000000000e+03,1.927355157659947249e+00,-2.561612417439045886e-01,2.406570894473873956e+00
1.521000000000000000e+03,1.943738131564541227e+00,-2.383771685873127266e-01,2.566724858789249719e+00
1.529000000000000000e+03,1.945755560560885611e+00,-2.185284005082148706e-01,2.699993685060016357e+00
1.537000000000000000e+03,1.934938247820306545e+00,-2.084458914247449834e-01,2.807473050802471892e+00
1.545000000000000000e+03,1.900092820339466693e+00,-1.950804957206605794e-01,2.874489324221062070e+00
1.553000000000000000e+03,1.836389999094460102e+00,-1.721606076003587282e-01,2.882874741549315001e+00
1.561000000000000000e+03,1.799848376409689088e+00,-1.837039123409292818e-01,2.798397526679670566e+00
1.569000000000000000e+03,1.809487556170643385e+00,-1.981625529631194649e-01,2.664113195592861860e+00
1.577000000000000000e+03,1.836460868002482094e+00,-2.214315346376204696e-01,2.520899853596758167e+00
1.585000000000000000e+03,1.845840403436252775e+00,-2.320826220202980572e-01,2.372517871300956038e+00
1.593000000000000000e+03,1.836075370087056235e+00,-2.318737821777410169e-01,2.206760648636092448e+00
1.601000000000000000e+03,1.802824595376674388e+00,-2.477660705877224590e-01,2.032017961399158690e+00
1.609000000000000000e+03,1.769322836456913794e+00,-2.731272224471817389e-01,1.844086823477463888e+00
1.617000000000000000e+03,1.747089430231663965e+00,-2.831347093683586058e-01,1.665225374475911790e+00
1.625000000000000000e+03,1.720280509967291538e+00,-3.107830778136429495e-01,1.465040163908081894e+00
1.633000000000000000e+03,1.701204276831408846e+00,-3.172674054292735080e-01,1.300866265823658718e+00
1.641000000000000000e+03,1.668048141823219366e+00,-2.647625129624855411e-01,1.127847606898224830e+00
1.649000000000000000e+03,1.601354199910073106e+00,-2.153948704882051868e-01,9.905397924440578761e-01
1.657000000000000000e+03,1.512557685363011606e+00,-1.710811025161534937e-01,8.594756521660688042e-01
1.665000000000000000e+03,1.385866783935600699e+00,-1.095561671945581017e-01,7.449598665871852710e-01
1.673000000000000000e+03,1.223048422391833645e+00,-8.491694711866146217e-02,6.192321017013519002e-01
1.681000000000000000e+03,1.074403570911275363e+00,-4.518767442968139175e-02,5.023929008356230463e-01
1.689000000000000000e+03,9.458652473244333336e-01,-5.290902284418686624e-03,3.823107596562067001e-01
1.697000000000000000e+03,8.311482565772196907e-01,1.413469623903236029e-02,2.371887350215683143e-01
1.705000000000000000e+03,7.839347851913142096e-01,1.788925421335238811e-02,9.065872505275938964e-02
1.713000000000000000e+03,7.743312123272814151e-01,-1.895725390583987910e-02,-4.864328377349416005e-02
1.721000000000000000e+03,7.606775848192978140e-01,-8.687041695684408205e-02,-1.748369196588017704e-01
1.729000000000000000e+03,7.492795683476030089e-01,-1.510751561920726793e-01,-2.908976347281123642e-01
1.737000000000000000e+03,7.553216984510540133e-01,-2.006291670698082397e-01,-4.171573159308351597e-01
1.745000000000000000e+03,7.564355747375527406e-01,-2.487291550752459557e-01,-5.577378525115196384e-01
1.753000000000000000e+03,7.766179869224963950e-01,-2.890327752237585868e-01,-6.910350912816703994e-01
1.761000000000000000e+03,8.234241758451981141e-01,-3.206457651242908269e-01,-8.344901093591969854e-01
1.769000000000000000e+03,8.654843124222101336e-01,-3.651122801561435538e-01,-9.823446444107657438e-01
1.777000000000000000e+03,9.026798677177265695e-01,-3.852180706936084720e-01,-1.158658313957912300e+00
1.785000000000000000e+03,9.295076010348970463e-01,-4.060808199573907595e-01,-1.341025886460404104e+00
1.793000000000000000e+03,9.666702356577607791e-01,-4.515423918259217073e-01,-1.535547006960313876e+00
1.801000000000000000e+03,1.015699404114797089e+00,-4.778210522372974278e-01,-1.717011408416469154e+00
1.809000000000000000e+03,1.076359343406606772e+00,-5.099125015399313954e-01,-1.875139556649441097e+00
1.817000000000000000e+03,1.142776003233137994e+00,-5.478363143895881304e-01,-2.028167491515891818e+00
1.825000000000000000e+03,1.227944023122125472e+00,-5.820798799140990409e-01,-2.141849101167601077e+00
1.833000000000000000e+03,1.335451786590779566e+00,-6.251459910433595502e-01,-2.207926469917478762e+00
1.841000000000000000e+03,1.462635142040846103e+00,-6.488753888086099542e-01,-2.198829603390465959e+00
1.849000000000000000e+03,1.590897704399312884e+00,-6.595231029401056322e-01,-2.120386988110991577e+00
1.857000000000000000e+03,1.703798879122335297e+00,-6.792760907125152681e-01,-2.023616895464272591e+00
1.865000000000000000e+03,1.819940081077150662e+00,-6.946781728222886088e-01,-1.929920764192601279e+00
1.873000000000000000e+03,1.953567604643146938e+00,-7.110695008673565409e-01,-1.875282751020946659e+00
1.881000000000000000e+03,2.099022940283483685e+00,-7.626197486915715640e-01,-1.832889210386970280e+00
1.889000000000000000e+03,2.247818553810971398e+00,-8.008518784372733457e-01,-1.786509355146534972e+00
