t,reproj_rms_px,reproj_feats
44.7661,3.28572,0
44.8328,3.53721,4
44.8995,2.27624,0
44.9663,4.36973,1
45.033,2.13119,2
45.0997,2.13119,2
45.1665,2.13119,2
45.2332,2.13119,2
45.2999,2.13119,2
45.3667,2.13119,2
45.4334,2.13119,2
45.5001,2.13119,2
45.5669,2.13119,2
45.6336,2.13119,2
45.7003,2.13119,2
45.7671,10.6294,2
45.8338,10.6294,2
45.9005,10.6294,2
45.9673,7.63344,1
46.034,5.77151,1
46.1007,9.19741,4
46.1675,8.28423,4
46.2342,4.45698,2
46.3009,9.17194,1
46.3677,7.26986,7
46.4344,5.36282,7
46.5011,8.13056,10
46.5679,3.77809,7
46.6346,7.0885,3
46.7013,7.74668,5
46.7681,5.61612,5
46.8348,6.0005,11
46.9015,4.33237,7
46.9683,3.50365,31
47.035,1.76357,6
47.1017,4.97705,26
47.1685,3.85144,33
47.2352,2.91403,4
47.3019,4.08468,19
47.3687,2.85516,16
47.4354,3.81426,26
47.5021,4.99174,32
47.5689,4.89478,38
47.6356,4.5813,46
47.7023,4.74288,28
47.7691,6.29062,20
47.8358,6.49482,74
47.9025,7.25235,12
47.9693,5.38175,13
48.036,7.26039,8
48.1027,6.6811,10
48.1695,6.73611,32
48.2362,8.44083,45
48.3029,3.24172,16
48.3697,8.31018,33
48.4364,4.92657,26
48.5031,4.64864,29
48.5699,4.09939,37
48.6366,4.08312,15
48.7033,4.03038,34
48.7701,8.80137,2
48.8368,8.17748,19
48.9035,9.04281,6
48.9703,6.76108,13
49.037,7.79041,7
49.1037,6.21359,6
49.1705,5.88608,2
49.2372,4.93975,2
49.3039,4.93975,2
49.3707,5.97409,3
49.4374,4.5029,2
49.5041,4.24323,0
49.5709,2.66279,1
49.6376,4.37434,0
49.7043,2.60302,2
49.7711,3.75732,5
49.8378,3.57747,3
49.9045,3.57747,3
49.9713,2.26076,1
50.038,3.7557,2
50.1047,4.54824,4
50.1715,4.69821,15
50.2382,1.41172,0
50.3049,2.14348,4
50.3717,3.15437,2
50.4384,3.15437,2
50.5051,4.47284,1
50.5719,3.4614,5
50.6386,2.25777,3
50.7053,3.58639,10
50.7721,4.30871,23
50.8388,2.97224,6
50.9055,2.97224,6
50.9723,1.34344,0
51.039,4.28795,0
51.1057,4.28795,0
51.1725,4.28795,0
51.2392,4.28795,0
51.3059,7.56492,0
51.3727,12.4656,0
51.4394,15.4094,1
51.5061,23.6817,8
51.5729,24.0494,0
51.6396,24.0494,0
51.7063,24.0494,0
51.7731,24.0494,0
51.8398,24.0494,0
51.9065,24.0494,0
51.9733,24.0494,0
52.04,24.0494,0
52.1067,24.0494,0
52.1735,24.0494,0
52.2402,24.0494,0
52.3069,24.0494,0
52.3737,24.0494,0
52.4404,24.0494,0
52.5071,4.31079,0
52.5739,4.31079,0
52.6406,4.31079,0
52.7073,4.31079,0
52.7741,4.31079,0
52.8408,4.31079,0
52.9075,4.31079,0
52.9743,4.31079,0
53.041,4.31079,0
53.1077,4.31079,0
53.1745,4.31079,0
53.2412,4.31079,0
53.3079,4.31079,0
53.3747,4.31079,0
53.4414,2.23278,0
53.5081,1.70977,0
53.5749,1.70977,0
53.6416,1.70977,0
53.7083,2.92198,1
53.7751,3.97959,15
53.8418,3.49023,3
53.9085,3.91332,3
53.9753,3.58129,11
54.042,2.40921,8
54.1087,4.54416,34
54.1755,5.28657,45
54.2422,2.1931,37
54.3089,2.87839,9
54.3757,3.14269,20
54.4424,3.09508,18
54.5091,2.31635,11
54.5759,2.62721,4
54.6426,2.90877,9
54.7093,5.32247,14
54.7761,6.12652,24
54.8428,3.95899,16
54.9095,3.27052,15
54.9763,3.97773,7
55.043,2.39516,2
55.1097,0.776022,0
55.1765,5.2174,2
55.2432,5.24071,9
55.3099,4.82737,4
55.3767,4.79829,11
55.4434,4.08585,4
55.5101,3.21043,7
55.5769,3.15506,10
55.6436,3.15506,10
55.7103,3.15506,10
55.7771,3.7496,1
55.8438,3.6297,3
55.9105,5.10536,3
55.9773,3.33322,3
56.044,9.11223,0
56.1107,9.11223,0
56.1775,9.11223,0
56.2442,9.11223,0
56.3109,9.11223,0
56.3777,9.11223,0
56.4444,9.11223,0
56.5111,9.11223,0
56.5779,9.11223,0
56.6446,9.11223,0
56.7113,9.11223,0
56.7781,9.11223,0
56.8448,9.11223,0
56.9115,9.11223,0
56.9783,9.11223,0
57.045,9.11223,0
57.1117,9.11223,0
57.1785,9.11223,0
57.2452,9.11223,0
57.3119,9.11223,0
57.3787,9.11223,0
57.4454,9.11223,0
57.5121,9.11223,0
57.5789,9.11223,0
57.6456,9.11223,0
57.7123,9.11223,0
57.7791,9.11223,0
57.8458,9.11223,0
57.9125,9.11223,0
57.9793,9.11223,0
58.046,9.11223,0
58.1127,9.11223,0
58.1795,9.11223,0
58.2462,9.11223,0
58.3129,9.11223,0
58.3797,0.989928,0
58.4464,0.989928,0
58.5131,3.14248,4
58.5799,3.14248,4
58.6466,3.14248,4
58.7133,2.22257,2
58.7801,0.615288,1
58.8468,0.490044,2
58.9135,0.102981,0
58.9803,2.59546,19
59.047,2.59546,19
59.1137,0.510317,0
59.1805,3.29922,8
59.2472,3.51899,1
59.3139,0.18089,0
59.3807,0.18089,0
59.4474,1.12203,9
59.5141,3.11486,0
59.5809,1.94319,54
59.6476,1.94319,54
59.7143,1.94319,54
59.7811,1.94319,54
59.8478,2.35459,1
59.9145,0.503712,3
59.9813,1.87751,25
60.048,1.87751,25
60.1147,0.620546,5
60.1815,0.620546,5
60.2482,2.60817,22
60.3149,2.60817,22
60.3817,1.82117,16
60.4484,1.82117,16
60.5151,1.82117,16
60.5819,1.82117,16
60.6486,1.82117,16
60.7153,1.82117,16
60.7821,1.82117,16
60.8488,1.82117,16
60.9155,1.82117,16
60.9823,1.82117,16
61.049,1.82117,16
61.1157,1.82117,16
61.1825,1.82117,16
61.2492,14.9383,0
61.3159,14.9383,0
61.3827,14.9383,0
61.4494,14.9383,0
61.5161,14.9383,0
61.5829,14.9383,0
61.6496,14.9383,0
61.7163,14.9383,0
61.7831,14.9383,0
61.8498,14.9383,0
61.9165,14.9383,0
61.9833,14.9383,0
62.05,14.9383,0
62.1167,14.9383,0
62.1835,14.9383,0
62.2502,14.9383,0
62.3169,14.9383,0
62.3837,14.9383,0
62.4504,14.9383,0
62.5171,14.9383,0
62.5839,14.9383,0
62.6506,14.9383,0
62.7173,14.9383,0
62.7841,14.9383,0
62.8508,14.9383,0
62.9175,14.9383,0
62.9843,2.1489,0
63.051,3.61367,3
63.1177,3.50586,4
63.1845,3.50586,4
63.2512,2.1871,5
63.3179,2.1871,5
63.3847,2.1871,5
63.4514,2.1871,5
63.5181,2.1871,5
63.5849,2.1871,5
63.6516,2.1871,5
63.7183,2.1871,5
63.7851,2.1871,5
63.8518,2.1871,5
63.9185,2.1871,5
63.9853,2.1871,5
64.052,2.1871,5
64.1187,2.1871,5
64.1855,2.1871,5
64.2522,2.1871,5
64.3189,2.1871,5
64.3857,2.1871,5
64.4524,2.1871,5
64.5191,2.1871,5
