t,px,py,pz,qx,qy,qz,qw
31.0857,0.488743,-2.08218,0.894209,-0.424205,-0.379962,-0.652691,0.499673
31.1525,0.684782,-2.34553,0.932211,-0.427205,-0.369838,-0.64869,0.50982
31.2192,1.00156,-2.42969,0.948937,-0.422315,-0.393758,-0.639273,0.507873
31.2859,1.18977,-2.67049,0.99813,-0.417168,-0.391913,-0.642163,0.509904
31.3527,1.39256,-2.92008,1.05583,-0.41284,-0.391911,-0.644741,0.510175
31.4194,1.63077,-3.15924,1.11608,-0.413565,-0.391619,-0.644381,0.510266
31.4861,1.89322,-3.42034,1.17288,-0.419567,-0.381094,-0.643173,0.514839
31.5529,2.10689,-3.69808,1.22832,-0.419808,-0.373527,-0.643197,0.52013
31.6196,2.35535,-3.98652,1.27155,-0.423653,-0.368251,-0.640071,0.524612
31.6863,2.61233,-4.29025,1.32578,-0.427432,-0.367073,-0.639714,0.522805
31.7531,2.65422,-4.80527,1.30367,-0.433126,-0.356295,-0.644169,0.520097
31.8198,2.81017,-5.17553,1.33652,-0.433464,-0.345038,-0.651516,0.518252
31.8865,2.61016,-5.31851,1.25271,-0.44393,-0.339421,-0.65446,0.509314
31.9533,2.60254,-5.79759,1.14896,-0.46187,-0.332281,-0.661156,0.489017
32.02,2.7826,-6.07973,1.30429,-0.470973,-0.323096,-0.665092,0.481088
32.0867,2.07762,-6.64016,1.20079,-0.478777,-0.311697,-0.674946,0.466975
32.1535,2.01686,-7.51068,0.935725,-0.492431,-0.289896,-0.676083,0.46517
32.2202,2.27043,-8.17581,0.868822,-0.509949,-0.270326,-0.674045,0.461019
32.2869,2.4286,-8.58991,0.879851,-0.519568,-0.265399,-0.678848,0.445844
32.3537,2.01683,-8.65014,0.770897,-0.524714,-0.252823,-0.689935,0.429821
32.4204,1.33478,-9.6311,0.805597,-0.52636,-0.233227,-0.703446,0.41679
32.4871,1.31557,-10.2944,0.791338,-0.533537,-0.212523,-0.713924,0.400605
32.5539,0.944217,-10.6404,0.702176,-0.539365,-0.192901,-0.723804,0.384685
32.6206,0.834324,-10.8015,0.775008,-0.54583,-0.180991,-0.729448,0.370428
32.6873,0.210448,-11.1311,0.769083,-0.551109,-0.156404,-0.738021,0.356569
32.7541,0.00476093,-11.4316,0.714859,-0.55762,-0.138693,-0.746558,0.335373
32.8208,0.0782374,-11.9895,0.650629,-0.56784,-0.109263,-0.752971,0.314091
32.8875,0.580858,-12.739,0.563601,-0.583718,-0.0835424,-0.756337,0.283282
32.9543,0.467268,-13.1054,0.537594,-0.591428,-0.0466498,-0.760991,0.262544
33.021,0.581365,-13.7096,0.519344,-0.597615,-0.00821434,-0.764363,0.241946
33.0877,0.47742,-14.4045,0.458067,-0.598449,0.0211429,-0.769451,0.222163
33.1545,0.397371,-15.0079,0.395045,-0.599507,0.0531394,-0.77304,0.200444
33.2212,0.462642,-15.6578,0.356731,-0.601762,0.0843528,-0.774172,0.177269
33.2879,0.532117,-16.3281,0.317245,-0.60619,0.104863,-0.773735,0.151236
33.3547,0.522823,-16.9585,0.282275,-0.606685,0.122549,-0.775376,0.125326
33.4214,0.576103,-17.68,0.226448,-0.606212,0.152116,-0.77396,0.101754
33.4881,0.580333,-18.3623,0.186717,-0.605481,0.176214,-0.772372,0.0760518
33.5549,0.577894,-19.0632,0.141984,-0.603192,0.200166,-0.770317,0.0520004
33.6216,0.553784,-19.8009,0.0942025,-0.602793,0.221397,-0.766076,0.0274107
33.6883,0.248728,-20.4234,0.163639,-0.596971,0.235186,-0.76698,0.00739712
33.7551,0.235609,-21.2435,0.0853147,0.598473,-0.254877,0.759422,0.012131
33.8218,0.224292,-22.099,-0.0122893,0.594433,-0.284739,0.751722,0.0220676
33.8885,0.199797,-22.9767,-0.118502,0.591826,-0.30677,0.744613,0.0344428
33.9553,0.162127,-23.8758,-0.232709,0.588664,-0.327142,0.737472,0.0508602
