t,px,py,pz,qx,qy,qz,qw
14.8695,4.08151,-6.82059,2.27832,-0.378962,-0.642603,-0.441285,0.498715
14.9363,4.20881,-6.73942,2.34224,-0.384168,-0.635866,-0.445768,0.499381
15.003,4.33805,-6.65089,2.41479,-0.383402,-0.636585,-0.449588,0.495614
15.0697,4.4761,-6.57139,2.46666,-0.387203,-0.634118,-0.455917,0.490009
15.1365,4.75483,-6.47224,2.27227,-0.401883,-0.612856,-0.461898,0.499548
15.2032,5.03421,-6.36597,2.1207,-0.409219,-0.595407,-0.469031,0.507977
15.2699,5.19614,-6.25003,2.15867,-0.417737,-0.591612,-0.474036,0.50078
15.3367,5.39308,-6.07491,2.04818,-0.438054,-0.577874,-0.472224,0.501173
15.4034,5.55859,-5.92062,2.04091,-0.440907,-0.576237,-0.475889,0.497073
15.4701,5.73564,-5.74901,2.00067,-0.452665,-0.570098,-0.473524,0.49584
15.5369,5.93094,-5.5959,1.98391,-0.458097,-0.566697,-0.47381,0.494475
15.6036,6.25959,-5.52246,1.84341,-0.465983,-0.549828,-0.476931,0.503076
15.6703,6.5122,-5.39746,1.79271,-0.475779,-0.537299,-0.482832,0.501813
15.7371,6.47725,-5.40692,2.11827,-0.456047,-0.557137,-0.495977,0.485414
15.8038,6.58871,-5.27526,2.13925,-0.462248,-0.563967,-0.493767,0.473774
15.8705,6.56294,-5.22188,2.41863,-0.460219,-0.571135,-0.491609,0.469386
15.9373,6.65999,-5.13242,2.51146,-0.460912,-0.571505,-0.494226,0.465491
16.004,6.81933,-4.9887,2.52571,-0.45216,-0.581744,-0.493197,0.462475
16.0707,6.97901,-4.84456,2.54126,-0.446891,-0.580739,-0.494077,0.467887
16.1375,7.15377,-4.71405,2.56226,-0.440804,-0.578535,-0.495543,0.47479
16.2042,7.18637,-4.65098,2.70643,-0.431872,-0.584822,-0.494816,0.476053
16.2709,7.32977,-4.53045,2.74911,-0.420547,-0.595568,-0.488073,0.479817
16.3377,7.20315,-4.52045,2.97023,-0.423895,-0.602755,-0.478199,0.477835
16.4044,7.19003,-4.24169,2.98245,-0.432366,-0.602499,-0.464108,0.484414
16.4711,7.39055,-4.07394,2.96605,-0.433644,-0.602535,-0.45588,0.490997
16.5379,7.50345,-3.92317,2.99878,-0.437611,-0.599051,-0.44609,0.500638
