t,reproj_rms_px,reproj_feats
24.0787,2.39975,30
24.1455,4.22985,26
24.2122,4.04723,12
24.2789,3.42601,36
24.3457,3.42601,36
24.4124,4.15094,6
24.4791,3.03359,2
24.5459,3.53429,2
24.6126,3.53429,2
24.6793,4.78323,8
24.7461,4.78323,8
24.8128,3.4347,7
24.8795,1.0277,0
24.9463,4.07244,9
25.013,1.8077,0
25.0797,4.33424,2
25.1465,2.4624,1
25.2132,3.24872,30
25.2799,3.02488,5
25.3467,3.61789,5
25.4134,4.72385,5
25.4801,3.14206,5
25.5469,4.73296,12
25.6136,2.21217,13
25.6803,3.39536,19
25.7471,3.91079,27
25.8138,3.21247,35
25.8805,4.4171,15
25.9473,5.35946,18
26.014,3.81146,19
26.0807,4.02149,18
26.1475,4.58177,35
26.2142,3.24836,2
26.2809,4.2339,2
26.3477,5.86837,4
26.4144,5.72143,52
26.4811,6.83463,45
26.5479,5.08405,19
26.6146,4.76606,40
26.6813,4.6106,17
26.7481,4.17592,23
26.8148,4.89808,35
26.8815,4.05931,3
26.9483,6.70794,13
27.015,3.60928,23
27.0817,2.33825,6
27.1485,0.818318,2
27.2152,3.93441,14
27.2819,4.50509,35
27.3487,5.50533,15
27.4154,5.28373,9
27.4821,5.28373,9
27.5489,4.7311,11
27.6156,4.57363,36
27.6823,2.70558,4
27.7491,7.52542,27
27.8158,7.15055,32
27.8825,6.75954,26
27.9493,8.16379,25
28.016,4.28183,4
28.0827,4.52124,16
28.1495,6.03483,11
28.2162,6.53978,9
28.2829,5.7256,13
28.3497,7.0153,19
28.4164,2.85047,7
28.4831,5.76437,32
28.5499,5.26615,7
28.6166,1.09235,0
28.6833,7.04476,18
28.7501,5.73741,16
28.8168,4.89603,19
28.8835,4.48872,8
28.9503,3.6654,28
29.017,5.84523,5
29.0837,9.01561,10
29.1505,0.0762804,0
29.2172,7.51498,7
29.2839,2.88074,19
29.3507,3.71304,7
29.4174,5.66556,21
29.4841,2.99224,7
29.5509,4.86704,12
29.6176,5.40411,14
29.6843,4.33823,26
29.7511,0.486234,0
29.8178,2.92177,8
29.8845,5.56004,28
29.9513,4.24308,23
30.018,4.5674,5
30.0847,2.84146,18
30.1515,1.76107,5
30.2182,2.1704,9
30.2849,4.57926,2
30.3517,3.3206,2
30.4184,2.35202,17
30.4851,1.99342,4
30.5519,0.909139,1
30.6186,0.909139,1
30.6853,4.49738,11
30.7521,3.02847,55
30.8188,3.05553,4
30.8855,3.1729,34
30.9523,3.3052,47
31.019,3.10539,32
31.0857,2.64129,60
31.1525,5.33845,54
31.2192,2.71014,66
31.2859,2.52182,28
31.3527,3.31012,14
31.4194,1.65125,2
31.4861,3.81939,5
31.5529,3.76222,50
31.6196,2.95025,5
31.6863,2.97532,14
31.7531,2.96362,18
31.8198,2.83596,26
31.8865,5.17061,30
31.9533,3.79226,26
32.02,3.79292,15
32.0867,3.69185,54
32.1535,2.98106,35
32.2202,3.88137,46
32.2869,3.3726,15
32.3537,3.5503,18
32.4204,4.64441,17
32.4871,2.47437,34
32.5539,5.19952,29
32.6206,3.73713,39
32.6873,4.08552,13
32.7541,3.48089,45
32.8208,6.41131,34
32.8875,7.18782,128
32.9543,6.55041,69
33.021,3.49097,34
33.0877,3.54239,20
33.1545,4.72518,12
33.2212,5.53516,17
33.2879,5.88422,46
33.3547,6.42289,9
33.4214,2.83276,15
33.4881,6.16562,14
33.5549,7.26361,22
33.6216,4.48962,34
33.6883,3.70765,2
33.7551,4.22956,10
33.8218,3.33486,28
33.8885,4.23569,7
33.9553,13.0379,1
34.022,2.59335,5
34.0887,3.50291,8
34.1555,4.37741,11
34.2222,3.82715,8
34.2889,3.96019,13
34.3557,1.6291,18
34.4224,3.17192,24
34.4891,2.68236,27
34.5559,2.65617,20
34.6226,2.4489,22
34.6893,2.34954,8
34.7561,3.25711,12
34.8228,2.99895,32
34.8895,2.89979,53
34.9563,2.67617,19
35.023,2.61712,19
35.0897,1.3782,15
35.1565,3.58096,40
35.2232,2.30219,14
35.2899,3.47758,8
35.3567,4.23705,15
35.4234,5.1629,9
35.4901,1.0072,4
35.5569,2.94664,0
35.6236,6.29662,11
35.6903,3.67466,7
35.7571,4.17731,10
35.8238,3.19167,54
35.8905,2.89361,74
35.9573,2.01292,19
36.024,3.14526,26
36.0907,4.95731,2
36.1575,4.95731,2
36.2242,4.95731,2
36.2909,3.929,4
36.3577,4.34904,19
36.4244,3.06979,21
36.4911,1.64218,7
36.5579,4.41931,28
36.6246,1.24844,2
36.6913,2.14625,20
36.7581,2.75152,56
36.8248,1.94725,7
36.8915,3.12984,35
36.9583,1.73629,2
37.025,3.89249,12
37.0917,5.48421,1
37.1585,4.26905,49
37.2252,2.99438,12
37.2919,3.21904,33
37.3587,4.38934,6
37.4254,3.10575,7
37.4921,3.3435,4
37.5589,1.28122,1
37.6256,3.99334,19
37.6923,4.73152,2
37.7591,3.86428,7
37.8258,3.22378,17
37.8925,2.93517,15
37.9593,2.85724,23
38.026,2.49413,29
38.0927,3.59632,25
38.1595,3.09283,31
38.2262,3.13192,22
38.2929,3.28307,20
38.3597,2.58293,3
38.4264,3.56783,67
38.4931,2.41139,12
38.5599,2.91126,39
38.6266,1.42931,3
38.6933,3.09476,55
38.7601,2.17809,94
38.8268,3.55801,46
38.8935,2.94671,38
38.9603,5.08413,35
39.027,4.65294,91
39.0937,3.57205,21
39.1605,4.32984,97
39.2272,6.05318,54
39.2939,5.42005,81
39.3607,7.0147,97
39.4274,9.49218,51
39.4941,6.09372,42
39.5609,8.89193,15
39.6276,5.59624,41
39.6943,6.65727,71
39.7611,3.56301,19
39.8278,4.14876,5
39.8945,4.38873,30
39.9613,2.50627,10
40.028,3.24362,40
40.0947,1.57697,17
40.1615,2.05681,28
40.2282,2.42847,27
40.2949,4.1974,79
40.3617,5.09306,12
