t,reproj_rms_px,reproj_feats
23.0777,3.24847,19
23.1445,4.07493,31
23.2112,4.81642,41
23.2779,3.55612,9
23.3447,2.99438,22
23.4114,1.08117,3
23.4781,2.9376,31
23.5449,2.57236,34
23.6116,2.02565,9
23.6783,4.80134,10
23.7451,1.91389,10
23.8118,1.90208,3
23.8785,2.63068,27
23.9453,3.09342,21
24.012,1.70207,29
24.0787,3.66651,104
24.1455,2.07445,53
24.2122,1.5659,28
24.2789,2.93074,20
24.3457,2.78165,27
24.4124,3.08774,42
24.4791,3.54446,16
24.5459,2.29115,18
24.6126,2.38567,13
24.6793,3.82768,3
24.7461,2.22567,14
24.8128,3.07998,57
24.8795,3.09962,15
24.9463,2.05476,0
25.013,2.02659,5
25.0797,1.946,7
25.1465,3.05467,13
25.2132,3.19111,6
25.2799,2.60731,1
25.3467,2.60731,1
25.4134,2.40841,23
25.4801,2.83039,39
25.5469,2.31272,32
25.6136,2.7746,32
25.6803,2.80161,66
25.7471,2.07196,53
25.8138,3.10821,56
25.8805,2.25606,51
25.9473,2.07413,26
26.014,4.24069,29
26.0807,4.24359,16
26.1475,5.98541,18
26.2142,3.84582,27
26.2809,3.11482,32
26.3477,4.01333,59
26.4144,3.7355,18
26.4811,5.16615,42
26.5479,3.42639,29
26.6146,6.01223,42
26.6813,6.48231,43
26.7481,4.49204,19
26.8148,4.64452,48
26.8815,4.79551,16
26.9483,4.51547,41
27.015,2.3255,4
27.0817,3.18346,7
27.1485,2.10309,2
27.2152,4.60987,14
27.2819,5.70231,62
27.3487,3.97517,34
27.4154,3.63667,17
27.4821,4.96925,36
27.5489,3.97186,22
27.6156,2.69666,11
27.6823,4.84759,49
27.7491,7.19852,41
27.8158,6.12184,46
27.8825,9.52024,37
27.9493,10.0955,44
28.016,5.8732,6
28.0827,6.99573,19
28.1495,3.67054,12
28.2162,5.7509,29
28.2829,7.09759,13
28.3497,3.78026,20
28.4164,3.4558,14
28.4831,5.8736,5
28.5499,4.85062,20
28.6166,4.85024,24
28.6833,2.03931,21
28.7501,5.83462,45
28.8168,4.48818,37
28.8835,6.1058,45
28.9503,3.54869,34
29.017,7.64608,37
29.0837,5.14422,36
29.1505,2.66744,21
29.2172,4.4846,13
29.2839,4.4846,21
29.3507,2.549,12
29.4174,3.80505,15
29.4841,3.43229,16
29.5509,4.41763,35
29.6176,6.77835,47
29.6843,3.98502,23
29.7511,3.4062,43
29.8178,5.35046,7
29.8845,5.5286,25
29.9513,2.72225,29
30.018,3.48328,22
30.0847,3.78394,11
30.1515,3.22311,7
30.2182,3.79179,22
30.2849,4.3063,20
30.3517,2.52935,29
30.4184,2.97367,66
30.4851,3.52404,104
30.5519,3.06303,45
30.6186,4.99428,31
30.6853,3.5074,51
30.7521,3.27797,74
30.8188,3.27681,60
30.8855,2.4714,32
30.9523,3.65788,44
31.019,4.19666,53
31.0857,4.9871,17
31.1525,6.4481,33
31.2192,4.07335,61
31.2859,3.02269,29
31.3527,3.75086,47
31.4194,5.71799,16
31.4861,4.62124,25
31.5529,4.05413,12
31.6196,2.10773,3
31.6863,3.51955,40
31.7531,3.99609,11
31.8198,2.99673,33
31.8865,2.90828,44
31.9533,2.55771,63
32.02,3.10284,103
32.0867,2.52742,119
32.1535,3.48564,100
32.2202,3.25869,68
32.2869,3.79852,27
32.3537,3.11369,21
32.4204,3.7883,25
32.4871,4.45612,29
32.5539,4.44125,35
32.6206,3.28967,86
32.6873,4.03263,59
32.7541,4.78047,58
32.8208,4.24337,27
32.8875,4.18115,14
32.9543,6.35783,24
33.021,3.50889,14
33.0877,11.0304,15
33.1545,2.61585,14
33.2212,4.05156,12
33.2879,10.164,21
33.3547,7.66075,26
33.4214,5.24058,20
33.4881,5.68202,48
33.5549,3.54959,11
33.6216,4.27971,26
33.6883,5.00506,8
33.7551,5.35665,46
33.8218,4.7672,13
33.8885,3.821,45
33.9553,3.821,45
34.022,3.58349,20
34.0887,3.58349,20
34.1555,0.988087,4
34.2222,5.53725,8
34.2889,3.1317,28
34.3557,3.09352,28
34.4224,3.3926,18
34.4891,2.22139,13
34.5559,3.44939,19
34.6226,2.52751,36
34.6893,3.32371,55
34.7561,2.73075,78
34.8228,1.64264,37
34.8895,4.7054,6
34.9563,2.82562,52
35.023,3.18453,19
35.0897,2.6565,6
35.1565,2.77747,23
35.2232,2.30863,32
35.2899,1.08392,1
35.3567,3.43955,4
35.4234,0.888549,0
35.4901,4.57264,6
35.5569,2.47997,0
35.6236,1.71739,2
