t,px,py,pz,qx,qy,qz,qw
9.46413,-1.21681,-0.258315,0.0150444,-0.624171,-0.3608,-0.629184,0.29045
9.53087,-1.22145,-0.263346,0.0118289,-0.62233,-0.361007,-0.625609,0.301651
9.5976,-1.24484,-0.27374,-0.00677041,-0.611948,-0.37229,-0.622262,0.315768
9.66433,-1.24749,-0.277269,-0.0120674,-0.606124,-0.380643,-0.614827,0.33123
9.73107,-1.23861,-0.287751,-0.0093822,-0.603585,-0.380122,-0.609906,0.345263
9.7978,-1.24501,-0.306515,-0.00173681,-0.598767,-0.386599,-0.604507,0.355794
9.86453,-1.2588,-0.32123,-0.017271,-0.590515,-0.399507,-0.597881,0.366366
9.93127,-1.27652,-0.343925,-0.0314887,-0.583161,-0.4101,-0.590042,0.378934
9.998,-1.28531,-0.35684,-0.0508565,-0.573899,-0.411286,-0.588328,0.39415
10.0647,-1.29882,-0.38834,-0.0692692,-0.56597,-0.419707,-0.585015,0.401598
10.1315,-1.29843,-0.410477,-0.0825186,-0.556428,-0.430007,-0.576104,0.416637
10.1982,-1.27426,-0.414745,-0.0816527,-0.554687,-0.435066,-0.564983,0.428759
10.2649,-1.257,-0.437969,-0.0846332,-0.548709,-0.444318,-0.551845,0.443809
10.3317,-1.24878,-0.474814,-0.0871654,-0.538748,-0.452169,-0.538338,0.464205
10.3984,-1.24484,-0.506159,-0.094795,-0.524112,-0.473885,-0.52429,0.475246
10.4651,-1.27846,-0.56631,-0.124886,-0.518094,-0.484212,-0.501355,0.495743
10.5319,-1.27835,-0.611179,-0.139732,-0.508061,-0.491978,-0.487125,0.512387
10.5986,-1.261,-0.649405,-0.145427,-0.49668,-0.502183,-0.475263,0.524639
10.6653,-1.20794,-0.651834,-0.12563,-0.484659,-0.517674,-0.466079,0.529046
10.7321,-1.14371,-0.652212,-0.0818006,-0.476093,-0.528562,-0.460458,0.530976
10.7988,-1.11572,-0.672723,-0.0793599,-0.465218,-0.539206,-0.45141,0.53764
10.8655,-1.07453,-0.672566,-0.0648238,-0.452708,-0.554561,-0.439528,0.542524
10.9323,-1.05221,-0.700716,-0.0727231,-0.442509,-0.563923,-0.429245,0.549477
10.999,-1.01974,-0.705015,-0.0676579,-0.431231,-0.575853,-0.420729,0.552648
11.0657,-1.01535,-0.725499,-0.0705131,-0.4278,-0.578116,-0.414038,0.557979
11.1325,-1.00701,-0.725693,-0.0606421,-0.419326,-0.588255,-0.401933,0.562647
11.1992,-0.988808,-0.72912,-0.0606436,-0.415144,-0.587817,-0.389764,0.574639
11.2659,-0.969319,-0.718693,-0.0493438,-0.410985,-0.591679,-0.381366,0.579281
11.3327,-0.937351,-0.718628,-0.0416507,-0.397357,-0.598261,-0.372598,0.587675
11.3994,-0.909946,-0.718282,-0.0412092,-0.389451,-0.604163,-0.363529,0.592589
11.4661,-0.887072,-0.712105,-0.0377209,-0.383394,-0.60832,-0.356793,0.596367
11.5329,-0.868487,-0.711185,-0.037913,-0.374192,-0.614567,-0.353528,0.597751
11.5996,-0.899917,-0.708021,-0.0227699,-0.388397,-0.611164,-0.357066,0.590026
