t,px,py,pz,qx,qy,qz,qw
19.6863,0.530593,2.45771,0.872005,0.639981,0.117813,0.750869,0.112875
19.7531,0.467616,2.52394,0.891208,0.641673,0.139626,0.749783,0.0811546
19.8198,0.441341,2.62078,0.89623,0.641725,0.163152,0.746993,0.0597555
19.8865,0.380631,2.69547,0.911731,0.640843,0.19077,0.743041,0.0285914
19.9533,0.34186,2.77163,0.919137,-0.637277,-0.219175,-0.73881,0.000411448
20.02,0.319445,2.85893,0.917377,-0.636447,-0.246247,-0.730331,0.0302422
20.0867,0.275599,2.93099,0.925429,-0.634421,-0.273341,-0.720569,0.0597857
20.1535,0.187512,3.00373,0.953108,-0.624342,-0.302439,-0.714305,0.0921765
20.2202,0.126984,3.083,0.968648,-0.615841,-0.336154,-0.701972,0.12237
20.2869,0.126947,3.20712,0.955069,-0.60879,-0.362998,-0.690703,0.143306
20.3537,0.170783,3.32934,0.912693,-0.600952,-0.395812,-0.674761,0.163971
20.4204,0.142563,3.4284,0.915104,-0.590881,-0.429739,-0.654356,0.194941
20.4871,0.0811271,3.54213,0.932946,-0.576716,-0.459686,-0.634618,0.230969
20.5539,0.048087,3.64021,0.942304,-0.564511,-0.493606,-0.604925,0.267854
20.6206,0.0126437,3.75823,0.952884,-0.550832,-0.529494,-0.572288,0.297837
20.6873,-0.0165391,3.88241,0.964515,-0.533455,-0.561135,-0.542012,0.326765
20.7541,-0.0357936,4.01389,0.97762,-0.520559,-0.581789,-0.513386,0.356336
20.8208,-0.0486592,4.15584,0.991352,-0.501309,-0.604385,-0.485189,0.384707
20.8875,-0.0542578,4.31248,1.00437,-0.48085,-0.625246,-0.452838,0.415678
20.9543,-0.0544917,4.4866,1.01564,-0.459132,-0.647096,-0.417444,0.442951
21.021,-0.0500764,4.67631,1.02506,-0.432692,-0.666857,-0.381926,0.471394
21.0877,-0.0416583,4.88257,1.03197,-0.40526,-0.68207,-0.351632,0.49689
21.1545,-0.101271,5.18557,1.03127,-0.376354,-0.696833,-0.327996,0.514975
21.2212,-0.121514,5.47981,1.00863,-0.352269,-0.706912,-0.297847,0.536161
21.2879,-0.123204,5.75369,0.998555,-0.323471,-0.719444,-0.264626,0.554743
21.3547,-0.126006,6.04747,0.984127,-0.295426,-0.729382,-0.230425,0.57239
21.4214,-0.208318,6.42025,0.954533,-0.269835,-0.738032,-0.204476,0.583684
21.4881,-0.225387,6.75535,0.92958,-0.241272,-0.744007,-0.173246,0.598521
21.5549,-0.246941,7.1122,0.900378,-0.212724,-0.748906,-0.141925,0.611348
21.6216,-0.272492,7.49433,0.867672,-0.190032,-0.750649,-0.1063,0.62379
21.6883,-0.30348,7.9,0.832283,-0.172754,-0.748907,-0.0726599,0.635622
21.7551,-0.341988,8.32597,0.794896,-0.151917,-0.747375,-0.0432978,0.64535
21.8218,-0.382977,8.77351,0.752606,-0.130367,-0.741665,-0.0172138,0.657755
21.8885,-0.429253,9.2456,0.702017,-0.110474,-0.736719,0.00733883,0.667074
21.9553,-0.482316,9.74221,0.644815,-0.0989578,-0.731356,0.0330028,0.673971
22.022,-0.544326,10.2564,0.583776,-0.0760979,-0.728464,0.0523465,0.678829
22.0887,-0.614544,10.7899,0.515393,-0.0607616,-0.725992,0.066805,0.681748
22.1555,-0.692235,11.3429,0.439569,-0.0459058,-0.724525,0.0778529,0.683297
