t,px,py,pz,qx,qy,qz,qw
9.33067,-2.17338,0.173665,-1.07988,-0.58838,-0.395823,-0.575328,0.407592
9.3974,-2.13615,0.121597,-1.06956,-0.582305,-0.410504,-0.564616,0.416672
9.46413,-2.14538,0.0700249,-1.02669,-0.579227,-0.419233,-0.552064,0.428912
9.53087,-2.12068,0.0428895,-0.9907,-0.577814,-0.425021,-0.541093,0.438985
9.5976,-2.14753,-0.0217663,-0.995325,-0.565239,-0.437716,-0.53174,0.454051
9.66433,-2.16638,-0.0794105,-0.996217,-0.555713,-0.448402,-0.519839,0.468921
9.73107,-2.13582,-0.145833,-0.954219,-0.551054,-0.459146,-0.504177,0.480968
9.7978,-2.11592,-0.217398,-0.951267,-0.543819,-0.473411,-0.492017,0.487917
9.86453,-2.10405,-0.283738,-0.945264,-0.53263,-0.485322,-0.481982,0.49846
9.93127,-2.08356,-0.344953,-0.941616,-0.52165,-0.495669,-0.471704,0.509596
9.998,-2.08389,-0.402804,-0.936981,-0.514735,-0.508311,-0.456913,0.517588
10.0647,-1.8663,-0.360945,-0.851024,-0.518002,-0.517475,-0.44552,0.515175
10.1315,-1.82649,-0.416129,-0.846681,-0.505831,-0.530736,-0.431341,0.525736
10.1982,-1.75002,-0.429039,-0.814279,-0.501975,-0.538814,-0.414944,0.534343
10.2649,-1.68822,-0.469156,-0.796629,-0.491423,-0.551116,-0.397888,0.544481
10.3317,-1.63463,-0.506437,-0.782178,-0.481318,-0.557418,-0.380436,0.559363
10.3984,-1.56927,-0.552537,-0.782214,-0.462574,-0.575677,-0.364162,0.567457
10.4651,-1.51647,-0.608399,-0.754904,-0.451572,-0.588497,-0.341202,0.577351
10.5319,-1.47788,-0.615647,-0.7547,-0.445413,-0.592376,-0.3307,0.584239
10.5986,-1.41568,-0.618634,-0.742549,-0.433067,-0.600863,-0.317679,0.592028
10.6653,-1.35572,-0.625025,-0.740216,-0.416369,-0.614451,-0.307496,0.595427
10.7321,-1.30705,-0.641031,-0.746587,-0.401855,-0.624994,-0.299475,0.598506
10.7988,-1.24173,-0.643346,-0.729501,-0.390182,-0.638612,-0.285144,0.598853
10.8655,-1.2194,-0.679652,-0.751797,-0.374253,-0.647594,-0.283298,0.600249
10.9323,-1.16808,-0.701597,-0.756725,-0.362394,-0.65468,-0.271311,0.605356
10.999,-1.11997,-0.688048,-0.752411,-0.353724,-0.665158,-0.263443,0.60253
11.0657,-1.07074,-0.682778,-0.750493,-0.347853,-0.669278,-0.252105,0.606224
11.1325,-1.02119,-0.683572,-0.741359,-0.334864,-0.675339,-0.236661,0.613005
11.1992,-0.989067,-0.677429,-0.735418,-0.334977,-0.67148,-0.227107,0.620747
11.2659,-0.941087,-0.668635,-0.717507,-0.328564,-0.676074,-0.214909,0.623526
11.3327,-0.896885,-0.660527,-0.715831,-0.314659,-0.682385,-0.206433,0.626678
11.3994,-0.853371,-0.654236,-0.71773,-0.304127,-0.687764,-0.196517,0.629181
11.4661,-0.81774,-0.635021,-0.718243,-0.295254,-0.691658,-0.188909,0.631465
11.5329,-0.792719,-0.627806,-0.731429,-0.283769,-0.697118,-0.188645,0.630804
11.5996,-0.770981,-0.614056,-0.756334,-0.271385,-0.699774,-0.191783,0.632365
11.6663,-0.818795,-0.5781,-0.746146,-0.285812,-0.691918,-0.199544,0.632252
11.7331,-0.827056,-0.554539,-0.747006,-0.285471,-0.692651,-0.201229,0.631069
11.7998,-0.843739,-0.55529,-0.749385,-0.284662,-0.68951,-0.20306,0.63428
11.8665,-0.824488,-0.552017,-0.749519,-0.287714,-0.690273,-0.196693,0.634078
11.9333,-0.822444,-0.558992,-0.739652,-0.290178,-0.691356,-0.196863,0.631719
12,-0.828113,-0.544855,-0.743149,-0.298745,-0.688894,-0.202266,0.628701
12.0667,-0.835733,-0.535166,-0.728421,-0.301898,-0.68409,-0.207188,0.630833
12.1335,-0.80767,-0.535987,-0.737241,-0.297275,-0.687847,-0.207575,0.628814
12.2002,-0.791809,-0.533234,-0.73437,-0.300686,-0.688779,-0.203181,0.627605
12.2669,-0.780016,-0.521479,-0.734579,-0.300944,-0.689989,-0.207036,0.624887
12.3337,-0.77916,-0.527084,-0.749797,-0.298901,-0.690304,-0.212334,0.623741
12.4004,-0.784663,-0.528348,-0.764622,-0.301823,-0.689437,-0.216264,0.62194
12.4671,-0.770491,-0.515731,-0.783251,-0.295012,-0.689282,-0.220313,0.623955
12.5339,-0.772145,-0.519106,-0.791239,-0.293845,-0.689446,-0.22323,0.623288
12.6006,-0.774011,-0.508791,-0.795388,-0.298768,-0.689662,-0.224494,0.620247
12.6673,-0.777204,-0.491126,-0.801505,-0.304587,-0.687879,-0.228224,0.618032
12.7341,-0.797351,-0.552083,-0.800379,-0.30698,-0.686325,-0.226109,0.619352
12.8008,-0.803539,-0.542997,-0.801983,-0.316616,-0.682948,-0.229351,0.617037
12.8675,-0.810039,-0.53199,-0.805772,-0.320259,-0.681939,-0.236154,0.613698
12.9343,-0.819266,-0.519054,-0.802032,-0.329172,-0.678275,-0.238566,0.612107
13.001,-0.835114,-0.501631,-0.80434,-0.340638,-0.675098,-0.246301,0.606254
13.0677,-0.84497,-0.484874,-0.805269,-0.348754,-0.67181,-0.251646,0.603089
13.1345,-0.861505,-0.458991,-0.808366,-0.355133,-0.671853,-0.265436,0.593327
13.2012,-0.876845,-0.42726,-0.811296,-0.366141,-0.668748,-0.276771,0.584906
13.2679,-0.894141,-0.401546,-0.818782,-0.377305,-0.664651,-0.289132,0.576439
13.3347,-0.91422,-0.368866,-0.820609,-0.389505,-0.65987,-0.301526,0.567397
13.4014,-0.953138,-0.328538,-0.810988,-0.409777,-0.651205,-0.315527,0.555391
13.4681,-0.976589,-0.2872,-0.809755,-0.422128,-0.645292,-0.326914,0.546382
13.5349,-0.998967,-0.240191,-0.81156,-0.432046,-0.639513,-0.33956,0.537641
13.6016,-1.05875,-0.249712,-0.832704,-0.444853,-0.63083,-0.349426,0.531093
13.6683,-1.1135,-0.245627,-0.833156,-0.457605,-0.62331,-0.360068,0.521952
13.7351,-1.15457,-0.193383,-0.833288,-0.470062,-0.616244,-0.373519,0.509675
13.8018,-1.21274,-0.158718,-0.831986,-0.483123,-0.608587,-0.388879,0.494962
13.8685,-1.26415,-0.09161,-0.841836,-0.495079,-0.602066,-0.40551,0.477468
13.9353,-1.32309,-0.0107263,-0.81699,-0.506168,-0.596178,-0.417406,0.46275
14.002,-1.38368,-0.00660662,-0.800306,-0.505807,-0.592405,-0.433767,0.452838
14.0687,-1.45887,0.0680127,-0.798436,-0.513795,-0.586918,-0.447237,0.437631
14.1355,-1.52929,0.169005,-0.816765,-0.518091,-0.583665,-0.461067,0.422295
14.2022,-1.61449,0.265476,-0.817589,-0.52419,-0.58151,-0.467097,0.410965
14.2689,-1.71255,0.351887,-0.811292,-0.527342,-0.582033,-0.472691,0.399638
14.3357,-1.81231,0.458892,-0.815201,-0.532637,-0.577713,-0.480231,0.389775
14.4024,-1.92144,0.576302,-0.821855,-0.536986,-0.574397,-0.486463,0.380878
14.4691,-2.03741,0.713983,-0.827638,-0.543641,-0.569714,-0.492799,0.370176
14.5359,-2.16898,0.859152,-0.837656,-0.548068,-0.56485,-0.501209,0.35966
14.6026,-2.31966,1.00752,-0.854451,-0.552081,-0.558749,-0.507213,0.354601
14.6693,-2.46668,1.18464,-0.845748,-0.555788,-0.551895,-0.511179,0.353847
14.7361,-2.65992,1.25239,-0.916283,-0.558684,-0.54605,-0.509921,0.360115
14.8028,-2.842,1.41166,-0.954923,-0.558728,-0.543051,-0.512263,0.361256
14.8695,-3.05823,1.56283,-1.01911,-0.558338,-0.541488,-0.514524,0.360991
14.9363,-3.23781,1.7232,-1.08225,-0.554455,-0.534355,-0.51851,0.371742
15.003,-3.4328,1.89193,-1.11534,-0.555726,-0.53391,-0.520813,0.367237
15.0697,-3.69563,1.96907,-1.19137,-0.553054,-0.530155,-0.527013,0.367865
